Title,Release Year,criticConsensus,Rank,Director
Doctor Strange,2016,"Doctor Strange artfully balances its outré source material against the blockbuster constraints of the MCU, delivering a thoroughly entertaining superhero origin story in the bargain.",63,Scott Derrickson
Tangled,2010,"While far from Disney's greatest film, Tangled is a visually stunning, thoroughly entertaining addition to the studio's classic animated canon.",64,"Nathan Greno, Byron Howard"
Bolt,2008,Bolt is a pleasant animated comedy that overcomes the story's familiarity with strong visuals and likable characters.,65,"Chris Williams, Byron Howard"
Tarzan,1999,"Disney's Tarzan takes the well-known story to a new level with spirited animation, a brisk pace, and some thrilling action set-pieces..",66,"Chris Buck, Kevin Lima"
Edward Scissorhands,1990,"The first collaboration between Johnny Depp and Tim Burton, Edward Scissorhands is a magical modern fairy tale with gothic overtones and a sweet center.",67,Tim Burton
Sleeping Beauty,1959,"This Disney dreamscape contains moments of grandeur, with its lush colors, magical air, one of the most menacing villains in the Disney canon.",68,Clyde Geronimi
Onward,2020,"It may suffer in comparison to Pixar's classics, but Onward makes effective use of the studio's formula -- and stands on its own merits as a funny, heartwarming, dazzlingly animated adventure.",69,Dan Scanlon
Pete's Dragon,2016,"Pete's Dragon continues Disney's current live-action winning streak with an update that gives the original a visual overhaul without overwhelming its sweet, soulful charm.",70,David Lowery
Millions,2004,A charming children fable even adults can enjoy.,71,Danny Boyle
Freaky Friday,2003,Jamie Lee Curtis and Lindsay Lohan charm in Mark Waters' nicely pitched -- and Disney's second -- remake of the 1976 hit.,72,Mark Waters
The Muppet Movie,1979,"The Muppet Movie, the big-screen debut of Jim Henson's plush creations, is smart, lighthearted, and fun for all ages.",73,James Frawley
The Jungle Book,1967,"With expressive animation, fun characters, and catchy songs, The Jungle Book endures as a crowd-pleasing Disney classic.",74,Wolfgang Reitherman
The Peanuts Movie,2015,The Peanuts Movie offers a colorful gateway into the world of its classic characters and a sweetly nostalgic -- if relatively unambitious -- treat for the adults who grew up with them.,75,Steve Martino
